²¡¶¾ËÝÔ´
bocup.cn/re4eu,230,553,573,730,731,739,744,|744,573,553,731,730,739,230,
agagn.com,731,737,|731,737,
cdjdss.cn/df4gh,240,250,270,290,512,531,577,635,714,715,731,739,752,|731,635,752,715,714,577,270,240,531,739,250,512,290,
wap.szioa.me/iq,,|,
ncces.cn/cvdfgv,730,|730,
http://portal.smu.edu.cn/yzw/sszs/2016-03-28/68030.html?from=singlemessage&isappinstalled=0,sh: data_sort/virus_data/virus_sms.csv: Permission denied,|sh: data_sort/virus_data/virus_sms.csv: Permission denied,
syh007.cn/sdfegt,532,731,|731,532,
sdkfs516.info/,,|,
wap.ziosq.me/iq,,|,
uognn.com,,|,
icoolz.cn/re4eu,100,200,210,230,270,280,311,315,335,371,411,516,531,571,574,579,591,592,593,594,595,596,598,599,730,731,734,735,736,737,738,739,743,744,745,746,750,751,752,755,757,758,760,769,779,817,851,858,877,898,902,939,997,999999,|591,579,592,595,594,210,596,335,598,311,593,315,574,270,743,744,230,752,745,997,746,730,877,858,731,599,939,735,734,737,736,739,280,571,817,200,751,750,757,755,898,758,779,738,100,851,902,760,999999,411,531,371,769,516,
www.agagm.com,731,|731,
bocup.cn/df4gh,100,310,351,357,358,370,519,532,724,730,731,734,739,743,744,746,774,999999,|519,743,744,734,746,774,310,999999,731,357,730,724,532,351,739,370,100,358,
http://m.amap.com/?name=DW&q=27.7091075,sh: data_sort/virus_data/virus_sms.csv: Permission denied,|sh: data_sort/virus_data/virus_sms.csv: Permission denied,
http://s.so.com/J_dRfi,731,999999,|731,999999,
http://s.so.com/J_dcMi,,|,
emblog.cn/df4gh,200,230,311,357,358,379,432,434,438,451,459,531,532,533,538,551,571,573,574,576,577,579,596,691,730,731,734,735,736,737,738,739,743,744,745,746,754,755,756,757,766,769,796,797,818,830,851,852,854,855,856,857,858,873,898,915,999999,|459,579,743,744,745,746,596,573,451,311,551,576,574,769,797,230,766,756,796,379,830,691,851,852,858,873,731,730,735,734,737,736,739,738,571,200,757,438,755,754,898,577,856,854,915,857,999999,818,855,357,533,532,531,434,358,432,538,
www.tjoac.com/y.html,,|,
rgnin.com,,|,
www.agagf.com,512,571,731,734,735,736,737,738,739,743,745,746,|743,745,746,571,731,735,734,737,736,739,738,512,
suiieos.com,,|,
icoolz.cn/edrtyh,100,200,210,220,270,280,335,411,451,454,531,532,551,571,716,730,731,738,755,762,769,871,873,999999,|769,210,335,451,571,551,270,762,873,871,731,730,716,280,411,200,755,454,738,100,220,999999,532,531,
syh007.cn/hjnidi,240,270,280,290,532,592,731,|731,592,270,240,280,290,532,
ljq365.cn/jcvfdg,,|,
ncces.cn/hgjy5e,731,734,739,|731,739,734,
hesgn.com,,|,
pyauto.cn/yj6y6,571,632,730,736,743,745,755,793,|632,743,793,745,755,571,730,736,
www.cxjfl.com,731,734,736,|731,734,736,
http://s.so.com/J_dKej,,|,
tftfp.com,,|,
sckeg.cn/drfgre,731,739,743,744,898,|731,739,898,743,744,
kegnn.com,734,|734,
www.aeaeu.com,745,|745,
aeaed.com,,|,
www.feheh.com,,|,
http://s.so.com/J_dbSn,,|,
www.fdndn.com,,|,
http://s.so.com/J_d2Cm,,|,
ruytn.com,,|,
icoolz.cn/df4gh,200,571,731,734,739,746,755,999999,|200,755,746,571,999999,731,734,739,
jlbfzl.cn/drfgre,731,735,736,738,739,745,|745,731,735,736,739,738,
qddtdx.com,,|,
jlbfzl.cn/cxgry,596,734,736,739,745,|739,736,734,745,596,
http://mq.3g.qq.com/g/s?aid=mqq&c,sh: c: command not found,|sh: c: command not found,
http://s.so.com/J_d3Qk,,|,
www.fdrdr.com,,|,
t.cn/R6hSZF8,,|,
emblog.cn/fgh5r,731,738,|731,738,
yyuandb.cn/yj6y6,240,591,744,745,763,999999,|591,744,745,763,999999,240,
emblog.cn/drfgre,734,738,739,743,745,|739,738,743,734,745,
www.agagd.com,731,743,746,|731,743,746,
glorycf.cn/edrtyh,731,738,739,744,|731,738,744,739,
sckeg.cn/re4eu,290,575,579,594,731,734,755,760,773,999999,|999999,579,594,755,760,575,731,734,773,290,
cdjdss.cn/fiornh,200,571,577,660,731,738,739,746,755,760,999999,|200,755,746,571,577,999999,660,731,739,738,760,
http://s.so.com/J_dank,,|,
gh0.cn/hhV,730,731,734,735,736,743,744,745,746,999999,|999999,743,744,745,746,731,730,735,734,736,
http://s.so.com/J_dVWi,,|,
jlbfzl.cn/yj6y6,230,532,592,731,735,736,999999,|999999,592,731,735,532,736,230,
icoolz.cn/yj6y6,100,200,210,230,250,270,280,377,398,531,532,571,574,575,576,577,579,591,592,633,716,724,730,731,734,736,737,738,739,743,745,746,754,755,760,772,773,776,791,851,854,856,898,917,999999,|591,579,592,745,210,571,577,576,575,574,270,743,250,398,230,854,856,746,791,772,731,730,734,737,736,739,280,917,760,200,633,755,754,898,716,776,738,773,100,851,999999,724,532,531,377,
laos.saqmua.me/sl,,|,
ljq365.cn/vcbtge,,|,
cdjdss.cn/yj6y6,532,745,755,797,|797,532,755,745,
syh007.cn/jhytte5,591,731,745,999999,|591,731,999999,745,
http://s.so.com/J_dBNk,,|,
pandavs.cc,,|,
http://s.so.com/J_d9kn,,|,
ylspa.cn/yj6y6,512,571,579,743,745,755,769,855,856,999999,|855,579,743,745,755,571,856,999999,769,512,
jlbfzl.cn/bhgtde,731,737,999999,|731,999999,737,
www.fdqdq.com,,|,
http://s.so.com/J_d5jj,,|,
http://isjb.cn/NnY3Z33,731,735,|731,735,
http://s.so.com/J_dJin,,|,
gh0.cn/hhh,730,731,734,735,737,738,739,745,999999,|999999,745,731,730,735,734,737,739,738,
http://s.so.com/J_dXsk,,|,
jlbfzl.cn/yloinb,736,743,|743,736,
www.zxrxr.com,,|,
http://s.so.com/J_dsHi,,|,
http://s.so.com/J_dGfj,,|,
emblog.cn/edrtyh,100,200,210,230,312,352,536,594,599,730,731,734,735,736,737,738,739,743,745,751,757,769,791,816,856,999999,|743,594,210,599,312,769,230,745,856,791,731,730,735,734,737,736,739,738,816,200,751,757,100,999999,536,352,
emblog.cn/cxgry,574,731,734,736,738,739,744,745,746,755,756,769,999999,|999999,769,744,745,746,574,731,755,734,736,739,738,756,
uesnn.com,,|,
cdjdss.cn/re4eu,200,731,734,736,737,738,739,773,999999,|200,773,999999,731,734,737,736,739,738,
utsnn.com,,|,
bocup.cn/yj6y6,100,230,270,532,573,591,730,731,734,736,737,738,739,743,745,755,756,769,851,857,999999,|591,731,743,745,755,573,857,756,999999,270,730,769,532,737,736,739,738,100,230,851,734,
fdldl.com,,|,
ljq365.cn/hgjy5e,,|,
cxkjl.com/8S,210,516,595,746,755,774,825,999999,|774,595,746,755,210,999999,825,516,
icoolz.cn/cxgry,210,230,512,531,577,591,595,731,737,744,745,752,760,763,817,826,831,851,856,857,859,895,917,999999,|591,595,745,210,763,760,577,744,230,856,857,851,859,731,737,917,817,752,895,831,512,999999,531,826,
xuaet.pw/aa,,|,
www.fdpdp.com,,|,
www.zwnwn.com,,|,
http://s.so.com/J_dVZm,,|,
syh007.cn/gfhnbt,731,735,|731,735,
http://s.so.com/J_dLDi,,|,
http://s.so.com/J_d9ri,739,|739,
http://s.so.com/J_dWWi,,|,
www.fdvdv.com/u/,,|,
gernn.com,731,734,736,737,739,745,746,|745,746,731,734,737,736,739,
bocup.cn/cxgry,532,716,731,734,738,739,745,746,757,|757,745,746,716,731,532,739,738,734,
bocup.cn/edrtyh,200,270,532,591,592,599,717,730,731,737,739,743,745,746,751,999999,|591,200,751,592,745,746,730,599,999999,731,270,717,743,532,737,739,
xuaet.pw/ss,746,|746,
jhmnbt.com/cf,,|,
http://s.so.com/J_daKk,,|,
www.zvkvk.com,,|,
http://s.so.com/J_ddMn,,|,
www.zvlvl.com,,|,
http://s.so.com/J_dkfn,,|,
rognn.com,731,734,745,|731,734,745,
http://s.so.com/J_dPqh,734,|734,
sckeg.cn/df4gh,730,731,735,739,743,745,|743,745,731,730,735,739,
hbgjswLy.com,739,851,859,|739,851,859,
www.tkjsyq.com,,|,
jlbfzl.cn/edrtyh,200,230,532,557,558,591,593,594,598,717,718,730,731,734,735,737,739,745,746,750,774,831,858,859,941,|591,593,558,746,774,598,557,230,745,831,858,859,731,730,735,734,737,739,200,750,718,717,594,941,532,
http://s.so.com/J_dGUk,,|,
icoolz.cn/jhytte5,200,280,317,396,531,532,595,731,734,735,736,738,743,746,755,757,799,830,888,898,|755,200,830,743,595,734,746,898,888,317,799,731,735,532,531,736,757,280,738,396,
http://s.so.com/J_dCui,,|,
ljq365.cn/fgbhrr,,|,
http://s.so.com/J_dRXj,,|,
cdjdss.cn/jhytte5,280,531,730,731,737,755,760,769,|769,531,755,760,731,730,737,280,
jlbfzl.cn/df4gh,731,734,735,736,737,739,743,745,746,775,999999,|775,999999,743,745,746,731,735,734,737,736,739,
emblog.cn/yj6y6,510,532,731,739,|731,510,532,739,
www.feqeq.com,,|,
http://s.so.com/J_dZKi,,|,
http://mp.weixin.qq.com/s/lST5t4kA8Tn7HvS2XoS_lA,200,731,760,769,|731,200,760,769,
www.afafl.com,730,731,737,739,744,999999,|999999,744,731,730,737,739,
http://www.fdvdv.com/u/,,|,
www.zylyl.com/j.htm,,|,
pyauto.cn/re4eu,731,734,739,746,|731,739,734,746,
sckeg.cn/yj6y6,200,230,371,531,556,574,591,594,730,731,736,737,743,745,755,851,854,855,856,857,858,999999,|591,743,594,556,574,230,745,854,855,856,857,851,858,731,730,737,736,200,755,999999,531,371,
hiqiu.cc,736,|736,
http://web.qun.qq.com/mannounce/detail.html?_bid=148&_wv=1031,sh: data_sort/virus_data/virus_sms.csv: Permission denied,|sh: data_sort/virus_data/virus_sms.csv: Permission denied,
www.gh0.cn/hhh,730,731,734,735,737,738,739,745,|745,731,730,735,734,737,739,738,
wap.ziaoq.me/iq,,|,
emblog.cn/jhytte5,731,734,738,739,745,|731,738,734,745,739,
icoolz.cn/flfe3y,743,|743,
xyzyz.pw,,|,
http://s.so.com/J_d6ni,745,755,999999,|999999,745,755,
reetn.com,,|,
wap.zvca.me/vs,,|,
