总体概括
带有网址或网址形态的短信总量,病毒短信总量,可拦截量
225890,6323,1572

病毒短信各运营商分布
电信,移动,联通
3601,1522,1200

各时间段病毒短信发送量分布
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
108,56,8,38,14,4,160,535,340,341,153,216,211,526,618,222,257,159,288,456,345,112,367,789,

病毒短信按主叫去重总数
663

病毒短信前6号段
1897,1707,1534,1817,1777,1397,

各类病毒短信占比情况
视频类,相册类,其它类,
1349,3972,1002
0.213348094259,0.628182824609,0.158469081132

各运营商病毒短信省内外发送量占比
电信省内,电信省外,移动省内,移动省外,联通省内,联通省外,
3406,195,1105,417,312,888,
0.945848375451,0.0541516245487,0.726018396846,0.273981603154,0.26,0.74

病毒类型,病毒链接,病毒短信示例恶意行为描述,IP地址,IP归属地
相册,emblog.cn/re4eu,小婷：看一看这段视屏熟不，这女的还记的不？ emblog.cn/re4eu emblog.cn/re4eu,该类有冲击力和诱惑力的短信涉及破坏家庭的内容，容易刺激用户点击病毒链接，点击该类病毒链接后会自动转发病毒短信给通讯录里的联系人，感染其它手机用户，形成散发式传播方式。可窃取手机上的全部信息，包括用户在手机上登录的银行卡账号及其密码和短信息，还可拦截并屏蔽正常短信，开启呼叫转移、群发短信等，对帐号、资金造成严重威胁。,43.248.10.11,香港--香港特别行政区--Hong Kong Internet Exchange,
视频,icoolz.cn/drfgre,雪梅 看一看MV里女的是谁，熟西不？  icoolz.cn/drfgre icoolz.cn/drfgre,该类有冲击力和诱惑力的短信涉及破坏家庭的内容，容易刺激用户点击病毒链接，点击该类病毒链接后会自动转发病毒短信给通讯录里的联系人，感染其它手机用户，形成散发式传播方式。可窃取手机上的全部信息，包括用户在手机上登录的银行卡账号及其密码和短信息，还可拦截并屏蔽正常短信，开启呼叫转移、群发短信等，对帐号、资金造成严重威胁。,43.248.10.11,香港--香港特别行政区--Hong Kong Internet Exchange,
待定,http://yixin.im/yq,我在用“易信”聊天啦，可以免费打电话，语音超清晰！还有免费短信！你也来试吧：http://yixin.im/yq王总要借钱给我，刚才房http://yixin.im/yq,待定,222.243.141.224,中国-华中-湖南省-湘潭市-电信,
